,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
0,451,Vincent Poirier,BOS,26,21,18,3,5.4,1.9,0.8,1.6,48.5,0.0,0.1,50.0,0.3,0.3,85.7,0.5,1.1,1.6,0.3,0.3,0.1,0.3,1.1,5.2,0,0,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1,452,Justin Patton,OKC,23,5,2,3,4.8,1.8,0.8,2.0,40.0,0.2,0.8,25.0,0.0,0.0,0.0,0.2,0.8,1.0,0.4,0.4,0.0,0.0,0.8,3.2,0,0,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
2,453,Michael Frazier,HOU,26,8,5,3,8.2,1.8,0.5,1.4,36.4,0.3,1.0,25.0,0.5,0.8,66.7,0.1,0.3,0.4,0.1,0.3,0.3,0.0,1.6,2.9,0,0,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
3,454,Tyler Cook,CLE,22,11,3,8,3.2,1.7,0.6,0.9,70.0,0.0,0.0,0.0,0.5,0.5,83.3,0.4,0.5,0.9,0.1,0.1,0.1,0.0,0.4,3.1,0,0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
4,455,Chasson Randle,GSW,27,3,2,1,13.5,1.7,0.0,1.3,0.0,0.0,0.7,0.0,1.7,2.0,83.3,0.0,0.7,0.7,1.7,0.0,0.7,0.0,1.0,7.0,0,0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
5,455,Dean Wade,CLE,23,12,1,11,6.0,1.7,0.8,1.1,69.2,0.2,0.3,50.0,0.0,0.1,0.0,0.3,1.3,1.6,0.2,0.3,0.2,0.3,0.7,5.1,0,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
6,455,Udonis Haslem,MIA,40,3,3,0,6.9,1.7,0.3,2.0,16.7,0.0,0.7,0.0,1.0,1.3,75.0,0.0,2.7,2.7,0.3,0.0,0.0,0.0,1.0,5.4,0,0,-4.7,,,,,,,,,,,,,,,,,,,,,,,,,,
7,458,BJ Johnson,ORL,24,8,4,4,5.8,1.6,0.6,2.3,27.8,0.1,0.8,16.7,0.3,0.3,100.0,0.1,0.6,0.8,0.3,0.4,0.3,0.0,0.0,3.3,0,0,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
8,459,Terance Mann,LAC,23,35,22,13,7.7,1.6,0.6,1.5,40.7,0.1,0.3,25.0,0.3,0.3,75.0,0.1,0.8,0.9,1.1,0.4,0.2,0.1,1.0,5.1,0,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
9,460,Donta Hall,DET,22,4,1,3,12.0,1.5,0.3,1.0,25.0,0.0,0.0,0.0,1.0,1.5,66.7,1.5,2.3,3.8,0.5,0.5,0.3,0.3,2.3,7.8,0,0,-6.8,,,,,,,,,,,,,,,,,,,,,,,,,,
10,460,Josh Magette,ORL,30,8,3,5,4.7,1.5,0.6,1.9,33.3,0.1,0.5,25.0,0.1,0.3,50.0,0.1,0.6,0.8,0.6,0.6,0.4,0.1,0.5,4.2,0,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
11,460,Marial Shayok,PHI,24,2,1,1,5.2,1.5,0.5,2.5,20.0,0.5,1.5,33.3,0.0,0.0,0.0,0.0,1.5,1.5,0.5,0.5,0.0,0.0,0.0,3.6,0,0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,463,Jared Dudley,LAL,34,40,29,11,7.8,1.5,0.5,1.3,40.0,0.4,0.9,47.1,0.1,0.1,100.0,0.1,1.0,1.1,0.5,0.2,0.3,0.1,0.9,4.4,0,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
13,464,Justin Robinson,WAS,22,9,2,7,5.4,1.4,0.6,1.3,41.7,0.3,0.6,60.0,0.0,0.0,0.0,0.1,0.4,0.6,0.8,0.3,0.0,0.1,0.2,3.3,0,0,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
14,465,Jonah Bolden,PHX,24,7,6,1,6.7,1.4,0.6,1.6,36.4,0.0,0.6,0.0,0.3,0.6,50.0,0.4,0.9,1.3,0.0,0.3,0.4,0.3,1.4,4.8,0,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
15,466,KZ Okpala,MIA,21,5,2,3,5.2,1.4,0.6,1.0,60.0,0.0,0.2,0.0,0.2,0.4,50.0,0.2,0.8,1.0,0.2,0.2,0.4,0.2,0.4,4.5,0,0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
16,467,Alize Johnson,IND,24,13,8,5,4.1,1.4,0.5,1.2,46.7,0.0,0.0,0.0,0.3,0.5,66.7,0.5,0.8,1.4,0.2,0.2,0.0,0.0,0.5,3.0,0,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
17,468,Rayjon Tucker,UTA,22,14,10,4,5.6,1.4,0.6,1.4,42.1,0.0,0.4,0.0,0.2,0.4,60.0,0.1,0.8,0.9,0.1,0.2,0.1,0.0,0.5,2.7,0,0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
18,469,Tariq Owens,PHX,25,3,0,3,5.1,1.3,0.3,1.7,20.0,0.0,0.7,0.0,0.7,0.7,100.0,0.7,0.3,1.0,0.0,0.0,0.3,0.0,0.3,3.5,0,0,-5.3,,,,,,,,,,,,,,,,,,,,,,,,,,
19,469,Zylan Cheatham,NOP,24,3,2,1,10.2,1.3,0.7,1.7,40.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,1.7,2.0,0.7,1.0,0.0,0.3,1.7,4.7,0,0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
20,471,Ed Davis,UTA,31,25,15,10,10.7,1.3,0.6,1.4,41.2,0.0,0.0,0.0,0.2,0.4,45.5,1.2,2.6,3.8,0.3,0.5,0.4,0.4,2.2,8.1,0,0,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
21,472,Tyson Chandler,HOU,37,26,15,11,8.4,1.3,0.5,0.7,77.8,0.0,0.0,0.0,0.2,0.5,46.2,1.0,1.6,2.5,0.2,0.3,0.2,0.3,1.2,6.0,0,0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
22,473,Moses Brown,POR,20,9,4,5,3.6,1.2,0.4,1.1,40.0,0.0,0.0,0.0,0.3,0.9,37.5,0.3,1.2,1.6,0.1,0.3,0.1,0.1,0.8,3.6,0,0,-3.7,,,,,,,,,,,,,,,,,,,,,,,,,,
23,474,Vlatko Cancar,DEN,23,14,7,7,3.2,1.2,0.4,1.1,40.0,0.1,0.4,16.7,0.3,0.3,100.0,0.4,0.4,0.7,0.2,0.2,0.1,0.1,0.5,2.6,0,0,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
24,475,Jordan Bone,DET,22,10,3,7,5.3,1.2,0.5,2.0,25.0,0.2,1.0,20.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,0.2,0.1,0.0,0.6,3.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
25,475,Melvin Frazier Jr.,ORL,23,15,4,11,3.4,1.2,0.4,1.1,35.3,0.3,0.5,57.1,0.1,0.3,50.0,0.1,0.2,0.3,0.1,0.2,0.3,0.1,0.5,2.6,0,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
26,477,Juwan Morgan,UTA,23,16,10,6,4.6,1.2,0.6,1.1,52.9,0.1,0.3,20.0,0.0,0.0,0.0,0.3,0.9,1.2,0.1,0.2,0.0,0.1,0.4,2.8,0,0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
27,478,DaQuan Jeffries,SAC,22,6,1,5,3.2,1.2,0.5,1.2,42.9,0.2,0.7,25.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.5,2.1,0,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
28,479,Stanley Johnson,TOR,24,20,15,5,4.8,1.2,0.4,1.6,25.8,0.1,0.7,15.4,0.3,0.3,83.3,0.2,1.0,1.1,0.4,0.4,0.2,0.1,0.5,3.6,0,0,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
29,480,Zhaire Smith,PHI,21,7,3,4,4.6,1.1,0.4,1.6,27.3,0.0,0.4,0.0,0.3,0.6,50.0,0.0,0.3,0.3,0.3,0.3,0.4,0.0,0.6,2.9,0,0,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
30,481,Jarred Vanderbilt,MIN,21,11,6,5,4.2,1.1,0.5,0.7,62.5,0.0,0.1,0.0,0.2,0.2,100.0,0.3,0.5,0.8,0.2,0.6,0.3,0.1,0.5,2.8,0,0,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
31,482,Devon Hall,OKC,24,5,3,2,3.9,1.0,0.2,1.0,20.0,0.0,0.4,0.0,0.6,0.8,75.0,0.0,0.2,0.2,0.6,0.2,0.0,0.0,0.2,1.9,0,0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
32,482,Dewan Hernandez,TOR,23,4,4,0,2.8,1.0,0.3,1.3,20.0,0.0,0.3,0.0,0.5,0.5,100.0,0.5,1.3,1.8,0.0,0.3,0.3,0.0,1.5,3.6,0,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
33,482,Jarrod Uthoff,MEM,27,4,3,1,3.4,1.0,0.3,1.8,14.3,0.0,1.0,0.0,0.5,0.5,100.0,0.3,0.0,0.3,0.0,0.0,0.3,0.0,0.3,2.1,0,0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
