,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
0,400,Kevon Looney,GSW,24,20,6,14,13.1,3.4,1.5,4.0,36.7,0.1,0.7,7.1,0.5,0.6,75.0,1.4,1.9,3.3,1.0,0.6,0.6,0.3,1.7,11.0,0,0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,402,Kyle O'Quinn,PHI,30,26,17,9,9.9,3.3,1.3,2.8,48.6,0.3,0.9,30.4,0.4,0.7,52.6,1.2,2.5,3.8,1.3,0.7,0.2,0.8,1.3,12.3,1,0,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
2,403,Tremont Waters,BOS,22,10,8,2,8.9,3.3,1.2,3.5,34.3,0.3,1.7,17.6,0.6,0.6,100.0,0.0,0.9,0.9,1.2,1.0,0.5,0.2,1.1,7.3,0,0,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
3,404,Evan Turner,MIN,31,19,3,16,13.2,3.3,1.3,3.5,37.3,0.0,0.3,0.0,0.6,0.7,85.7,0.4,1.6,2.0,2.0,1.4,0.5,0.4,1.1,10.0,0,0,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
4,405,D.J. Wilson,MIL,24,31,27,4,9.0,3.2,1.3,3.3,39.6,0.5,1.8,25.5,0.2,0.3,66.7,0.3,1.9,2.2,0.7,0.5,0.1,0.2,0.8,7.1,0,0,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
5,406,Jordan Bell,MEM,25,29,8,21,8.8,3.2,1.2,2.3,52.2,0.1,0.4,33.3,0.7,1.1,61.3,1.0,1.8,2.8,0.6,0.7,0.1,0.3,0.7,8.0,0,0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
6,407,Gary Clark,ORL,25,35,20,15,12.1,3.2,1.1,2.9,37.6,0.8,2.5,32.6,0.2,0.3,88.9,0.8,1.7,2.4,0.4,0.1,0.1,0.4,0.9,8.2,0,0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
7,408,Johnathan Williams,WAS,25,11,6,5,12.3,3.2,1.5,2.3,64.0,0.0,0.2,0.0,0.3,0.5,60.0,1.4,2.5,3.9,0.5,0.4,0.1,0.5,1.0,10.2,0,0,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,,
8,409,Rodney McGruder,LAC,28,50,33,17,15.0,3.2,1.2,3.1,39.1,0.4,1.6,27.8,0.3,0.6,53.6,0.5,2.0,2.6,0.6,0.4,0.5,0.2,1.3,8.6,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,410,Tacko Fall,BOS,24,6,5,1,4.0,3.2,1.5,2.0,75.0,0.0,0.0,0.0,0.2,0.5,33.3,0.0,1.8,1.8,0.0,0.5,0.0,0.3,0.8,5.9,0,0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
10,411,Semi Ojeleye,BOS,25,61,41,20,14.6,3.1,1.1,2.6,40.9,0.6,1.6,36.7,0.4,0.5,89.3,0.4,1.6,2.0,0.5,0.2,0.3,0.1,1.0,7.3,0,0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
11,412,Matthew Dellavedova,CLE,29,57,17,40,14.4,3.1,1.1,3.1,35.4,0.4,1.6,23.1,0.6,0.6,86.5,0.3,1.0,1.3,3.2,1.0,0.4,0.0,1.4,9.5,1,0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
12,413,Goga Bitadze,IND,20,49,29,20,8.4,3.1,1.2,2.6,47.3,0.1,0.7,16.7,0.5,0.7,72.7,0.4,1.5,2.0,0.4,0.5,0.1,0.7,1.2,7.9,1,0,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
13,414,Admiral Schofield,WAS,23,27,9,18,10.8,3.1,1.1,2.8,40.0,0.5,1.7,29.8,0.3,0.5,69.2,0.2,1.0,1.3,0.5,0.3,0.3,0.1,1.5,6.3,0,0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
14,415,Carsen Edwards,BOS,22,35,24,11,9.0,3.0,1.1,3.2,32.7,0.6,1.9,30.9,0.3,0.4,84.6,0.2,1.1,1.2,0.6,0.4,0.3,0.1,0.9,6.1,0,0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
15,416,Chris Silva,MIA,23,41,27,14,7.5,2.9,1.0,1.7,62.3,0.0,0.0,0.0,0.8,1.2,69.4,1.3,1.3,2.7,0.5,0.8,0.2,0.4,2.0,8.1,0,0,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
16,417,Jaylen Hoard,POR,21,13,7,6,7.9,2.9,1.2,2.5,46.9,0.0,0.2,0.0,0.6,1.0,61.5,1.1,1.4,2.5,0.3,0.3,0.4,0.0,0.9,7.2,0,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
17,418,Adam Mokoka,CHI,21,11,3,8,10.2,2.9,1.1,2.5,42.9,0.5,1.4,40.0,0.2,0.4,50.0,0.6,0.3,0.9,0.4,0.2,0.4,0.0,1.5,5.5,0,0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,
18,419,Javonte Green,BOS,26,44,30,14,9.4,2.9,1.1,2.2,50.0,0.1,0.5,26.1,0.5,0.8,63.9,0.4,1.4,1.8,0.5,0.4,0.5,0.2,0.8,7.5,0,0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
19,420,TJ Leaf,IND,23,25,14,11,7.7,2.9,1.2,2.8,43.5,0.2,0.6,35.7,0.3,0.5,58.3,0.8,1.7,2.6,0.2,0.3,0.3,0.1,0.7,7.4,1,0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
20,421,Chimezie Metu,SAS,23,16,7,9,4.5,2.9,1.3,2.2,57.1,0.0,0.1,0.0,0.4,0.5,75.0,0.6,1.0,1.6,0.4,0.3,0.1,0.3,0.3,6.0,0,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
21,422,Tyrone Wallace,ATL,26,14,3,11,11.5,2.9,1.0,3.1,31.8,0.1,1.1,6.7,0.8,1.2,64.7,0.2,1.4,1.6,0.9,0.7,0.5,0.1,1.4,7.1,0,0,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
22,423,Chandler Parsons,ATL,31,5,0,5,10.8,2.8,1.0,3.6,27.8,0.8,2.8,28.6,0.0,0.0,0.0,0.2,1.2,1.4,0.6,0.6,0.8,0.2,0.6,7.8,0,0,-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23,424,Deonte Burton,OKC,26,34,20,14,8.4,2.8,1.1,3.1,37.1,0.3,1.4,21.7,0.2,0.4,50.0,0.2,1.2,1.4,0.3,0.4,0.1,0.3,0.8,5.9,0,0,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
24,425,Bruno Caboclo,HOU,24,27,10,17,8.1,2.7,1.2,2.9,41.6,0.1,1.0,14.3,0.1,0.2,80.0,0.8,1.1,2.0,0.4,0.3,0.4,0.6,0.9,8.5,1,0,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
