,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
0,351,Patrick Patterson,LAC,31,51,34,17,11.9,4.6,1.5,3.7,40.4,1.1,2.8,38.7,0.5,0.7,79.4,0.6,1.8,2.4,0.6,0.4,0.1,0.1,0.8,8.5,0,0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1,352,Isaac Bonga,WAS,20,58,21,37,17.7,4.6,1.7,3.2,52.2,0.4,0.9,40.0,0.9,1.1,81.3,1.1,2.1,3.2,1.1,0.7,0.6,0.4,2.3,12.2,0,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
2,353,Edmond Sumner,IND,24,25,11,14,13.8,4.6,1.9,4.4,42.3,0.4,1.5,26.3,0.4,0.6,66.7,0.4,1.1,1.5,1.6,0.8,0.6,0.3,1.4,10.7,0,0,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
3,354,Keldon Johnson,SAS,20,9,3,6,10.2,4.6,1.8,3.4,51.6,0.2,0.6,40.0,0.8,1.1,70.0,0.6,1.3,1.9,0.7,0.3,0.6,0.1,1.0,9.5,0,0,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
4,355,Alfonzo McKinnie,CLE,27,40,11,29,14.8,4.6,1.8,4.3,42.7,0.4,1.6,21.5,0.6,0.8,71.0,0.9,1.9,2.8,0.4,0.7,0.6,0.2,1.8,10.1,1,0,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
5,356,Matt Thomas,TOR,25,33,24,9,9.7,4.5,1.6,3.4,48.6,1.1,2.3,46.7,0.2,0.3,70.0,0.2,1.2,1.5,0.5,0.4,0.2,0.0,0.9,7.4,0,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
6,357,Dante Exum,CLE,24,35,10,25,13.9,4.5,1.6,3.4,47.1,0.4,1.2,34.9,0.9,1.2,74.4,0.3,1.6,1.9,1.1,0.9,0.4,0.2,1.1,9.5,0,0,-3.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7,358,Ryan Arcidiacono,CHI,26,58,21,37,16.0,4.5,1.6,3.8,40.9,0.9,2.4,39.1,0.5,0.7,71.1,0.3,1.6,1.9,1.7,0.6,0.5,0.1,1.7,10.2,0,0,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
8,359,Darius Bazley,OKC,20,53,32,21,17.2,4.5,1.7,4.3,38.3,0.6,1.9,30.0,0.6,0.9,68.1,0.4,3.3,3.7,0.5,0.8,0.4,0.7,0.8,12.1,0,0,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
9,360,Courtney Lee,DAL,34,24,15,9,14.4,4.5,1.7,3.4,48.8,0.9,2.0,44.7,0.3,0.3,85.7,0.3,1.0,1.3,0.5,0.5,0.8,0.3,1.4,9.4,0,0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
10,361,Treveon Graham,ATL,26,55,21,34,16.9,4.4,1.6,4.4,36.0,0.6,2.2,27.5,0.7,1.0,64.3,0.9,1.8,2.7,0.8,0.5,0.4,0.1,1.9,10.0,0,0,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
11,362,Jacob Evans,MIN,23,29,8,21,14.4,4.4,1.6,4.6,33.6,0.4,1.3,33.3,0.9,1.0,86.2,0.3,1.1,1.4,1.1,0.9,0.4,0.4,1.4,9.2,0,0,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
12,363,Nicolas Claxton,BKN,21,15,5,10,12.5,4.4,1.8,3.2,56.3,0.1,0.5,14.3,0.7,1.4,52.4,1.3,1.7,2.9,1.1,0.6,0.1,0.5,0.9,10.7,0,0,-4.5,,,,,,,,,,,,,,,,,,,,,,,,,,
13,364,Ante Zizic,CLE,23,22,4,18,10.0,4.4,1.9,3.3,56.9,0.0,0.0,0.0,0.6,0.9,73.7,0.8,2.2,3.0,0.3,0.5,0.3,0.2,1.2,9.6,1,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
14,365,Andre Iguodala,MIA,36,14,7,7,18.5,4.4,1.8,3.6,49.0,0.6,1.7,37.5,0.1,0.6,25.0,0.7,3.1,3.8,2.0,1.2,0.6,1.1,2.0,15.8,0,0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
15,366,Al-Farouq Aminu,ORL,29,18,7,11,21.1,4.3,1.4,4.8,29.1,0.5,2.0,25.0,1.1,1.6,65.5,1.3,3.5,4.8,1.2,0.9,1.0,0.4,1.5,15.3,1,0,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
