,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
40,41,Nikola Vucevic,ORL,29,54,25,29,32.6,19.5,7.9,16.9,47.0,1.5,4.6,32.9,2.1,2.7,78.1,2.4,8.6,11.0,3.7,1.4,0.9,0.9,2.2,42.1,36,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
41,42,Tobias Harris,PHI,27,65,39,26,34.5,19.4,7.6,16.1,47.2,1.8,5.0,36.2,2.4,2.9,80.6,0.8,5.9,6.8,3.2,1.5,0.8,0.5,2.3,34.6,10,0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
42,43,Shai Gilgeous-Alexander,OKC,21,63,39,24,35.1,19.3,7.0,14.8,47.3,1.2,3.5,35.1,4.0,5.0,80.1,0.7,5.4,6.1,3.3,1.9,1.1,0.7,1.7,35.2,9,1,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
43,44,Kristaps Porzingis,DAL,24,51,30,21,31.3,19.2,6.6,15.8,42.0,2.5,7.1,34.9,3.5,4.5,77.6,1.7,7.7,9.5,1.7,1.6,0.7,2.1,3.1,39.9,23,0,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,
44,45,Danilo Gallinari,OKC,31,55,33,22,30.7,19.2,6.0,13.6,43.9,3.0,7.3,40.9,4.3,4.8,88.6,0.6,4.9,5.5,2.1,1.3,0.7,0.1,1.2,30.0,3,0,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
45,46,Dennis Schroder,OKC,26,63,39,24,31.0,19.0,7.0,15.0,46.8,1.9,5.1,38.1,3.1,3.7,83.9,0.3,3.4,3.7,4.1,2.5,0.7,0.2,2.2,29.8,0,0,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,
46,47,Deandre Ayton,PHX,21,30,12,18,33.2,19.0,8.5,15.5,54.8,0.0,0.1,0.0,2.0,2.6,76.9,4.1,7.9,12.0,1.9,2.4,0.7,1.7,3.2,41.2,20,0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
47,48,LaMarcus Aldridge,SAS,34,53,23,30,33.1,18.9,7.4,15.0,49.3,1.2,3.0,38.9,3.0,3.6,82.7,1.9,5.5,7.4,2.4,1.4,0.7,1.6,2.4,37.0,14,0,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
48,49,Evan Fournier,ORL,27,61,26,35,31.7,18.8,6.7,14.2,47.0,2.7,6.7,40.6,2.8,3.4,82.0,0.3,2.3,2.6,3.2,2.0,1.1,0.2,2.4,28.8,0,0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
49,50,Jamal Murray,DEN,23,55,37,18,32.8,18.8,7.0,15.4,45.5,1.9,5.5,34.5,2.9,3.2,89.3,0.8,3.2,3.9,4.8,2.3,1.2,0.3,1.8,32.9,2,0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,
