,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
0,301,Wilson Chandler,BKN,33,35,16,19,21.0,5.9,2.1,5.2,40.4,1.1,3.5,30.6,0.6,0.7,87.0,0.3,3.8,4.1,1.1,1.0,0.5,0.3,2.3,13.9,0,0,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1,302,Dewayne Dedmon,ATL,30,44,17,27,17.6,5.8,2.3,5.8,40.0,0.5,2.4,20.6,0.7,0.8,83.3,1.4,4.3,5.7,0.5,1.3,0.6,0.9,3.0,16.6,3,0,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
2,303,Georges Niang,UTA,27,58,38,20,13.3,5.8,2.1,4.6,45.3,1.3,3.2,41.6,0.3,0.4,86.4,0.2,1.7,1.9,0.6,0.4,0.2,0.1,1.1,9.4,0,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
3,304,DeAndre' Bembry,ATL,25,43,10,33,21.3,5.8,2.4,5.3,45.6,0.3,1.5,23.1,0.6,1.1,54.2,0.8,2.7,3.5,1.9,1.4,1.3,0.4,2.0,16.6,2,0,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,305,Marco Belinelli,SAS,34,52,23,29,15.0,5.8,2.0,5.2,39.1,1.1,3.0,36.8,0.6,0.8,78.0,0.1,1.7,1.7,1.2,0.3,0.2,0.0,0.8,10.0,0,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
5,306,Maurice Harkless,NYK,27,62,39,23,23.0,5.8,2.3,4.6,50.2,0.5,1.6,34.7,0.6,1.1,59.1,0.9,3.0,3.9,1.1,0.9,0.9,0.5,2.4,15.6,0,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
6,307,Skal Labissiere,ATL,24,33,14,19,17.2,5.8,2.5,4.5,55.1,0.1,0.4,23.1,0.8,1.0,75.8,2.0,3.2,5.1,1.3,0.9,0.2,0.9,2.7,16.4,1,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
7,308,Dwayne Bacon,CHA,24,39,10,29,17.6,5.7,2.2,6.3,34.8,0.5,1.7,28.4,0.9,1.4,66.0,0.4,2.2,2.6,1.3,0.9,0.6,0.1,1.3,11.8,0,0,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
8,309,Tyler Johnson,PHX,28,31,11,20,16.6,5.7,2.1,5.5,38.0,0.8,2.7,28.9,0.8,1.0,75.0,0.3,1.4,1.7,1.6,0.8,0.4,0.3,1.4,11.3,0,0,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
9,310,Mike Scott,PHI,31,63,37,26,17.8,5.7,2.1,5.1,40.8,1.2,3.2,35.8,0.4,0.5,83.3,0.9,2.7,3.6,0.8,0.4,0.3,0.1,1.3,11.9,0,0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
10,311,Kyle Anderson,MEM,26,59,30,29,19.3,5.7,2.3,4.7,49.3,0.3,1.1,25.8,0.7,1.1,65.2,0.9,3.4,4.4,2.2,0.9,0.8,0.5,1.4,17.2,0,0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
11,312,Justin Jackson,DAL,25,58,36,22,16.0,5.7,2.1,5.4,39.9,0.8,2.6,29.8,0.6,0.8,81.8,0.5,2.0,2.4,0.8,0.2,0.2,0.2,1.0,10.8,0,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
12,313,Lonnie Walker IV,SAS,21,53,24,29,14.5,5.6,2.2,5.0,43.4,0.5,1.3,40.8,0.7,1.0,71.7,0.4,1.8,2.2,0.9,0.6,0.5,0.2,1.3,11.3,0,0,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
13,314,Frank Jackson,NOP,22,51,24,27,12.9,5.6,1.9,5.0,38.5,0.8,2.4,32.5,0.9,1.3,75.0,0.4,1.0,1.4,0.8,0.8,0.3,0.1,1.3,8.7,0,0,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
