,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
0,200,Zach Collins,POR,22,3,2,1,28.8,9.0,3.0,6.3,47.4,1.0,2.3,42.9,2.0,2.0,100.0,1.3,2.7,4.0,2.0,2.0,0.0,0.7,3.7,16.8,0,0,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1,202,Naz Reid,MIN,20,30,8,22,16.5,9.0,3.3,8.1,41.2,1.1,3.2,33.0,1.2,1.8,69.8,1.1,3.0,4.1,1.2,0.7,0.6,0.7,2.8,19.0,2,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
2,203,Bruce Brown,DET,23,58,18,40,28.2,8.9,3.4,7.7,44.3,0.6,1.7,34.4,1.5,2.1,73.9,1.1,3.7,4.7,4.0,1.7,1.1,0.5,2.8,23.6,4,0,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
3,204,Derrick Jones Jr.,MIA,23,51,31,20,24.5,8.9,3.3,6.3,51.4,0.7,2.5,27.0,1.7,2.2,77.9,1.1,3.1,4.2,1.1,0.5,1.1,0.7,2.2,20.4,0,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
4,205,Jordan Poole,GSW,21,57,12,45,22.3,8.8,2.9,8.8,33.3,1.3,4.6,27.9,1.7,2.1,79.8,0.2,1.9,2.1,2.4,1.3,0.6,0.2,1.6,15.9,0,0,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
5,206,Anfernee Simons,POR,21,65,28,37,21.5,8.8,3.2,8.1,40.2,1.1,3.4,33.8,1.2,1.4,82.6,0.4,1.9,2.3,1.5,0.9,0.4,0.2,2.0,14.4,1,0,-4.1,,,,,,,,,,,,,,,,,,,,,,,,,,
6,207,Kent Bazemore,SAC,30,64,31,33,25.1,8.7,2.9,7.7,37.4,1.2,3.6,34.2,1.7,2.2,76.8,0.4,4.0,4.3,1.3,1.3,1.1,0.6,2.8,19.7,0,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
7,208,Mikal Bridges,PHX,23,65,26,39,27.3,8.7,3.2,6.3,51.6,0.9,2.4,35.2,1.4,1.6,84.8,0.9,3.1,4.0,1.8,1.0,1.4,0.6,2.2,21.2,1,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
8,209,Avery Bradley,LAL,29,49,36,13,24.2,8.6,3.5,7.8,44.4,1.3,3.5,36.4,0.4,0.5,83.3,0.4,2.0,2.3,1.3,1.0,0.9,0.1,2.2,15.4,0,0,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,
9,210,Josh Okogie,MIN,21,62,19,43,25.0,8.6,2.7,6.4,42.7,0.7,2.5,26.6,2.5,3.1,79.6,1.4,2.9,4.3,1.6,1.4,1.1,0.4,2.2,19.3,0,0,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
10,211,E'Twaun Moore,NOP,31,51,26,25,18.8,8.6,3.4,8.0,42.4,1.2,3.1,37.5,0.6,0.8,67.4,0.6,1.8,2.4,1.4,0.7,0.5,0.2,1.5,15.1,0,0,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
11,212,Austin Rivers,HOU,27,60,39,21,23.4,8.5,3.0,7.2,42.1,1.4,3.9,35.8,1.0,1.5,66.7,0.4,2.0,2.4,1.6,0.6,0.7,0.2,1.9,15.7,0,0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,213,Monte Morris,DEN,25,65,43,22,21.6,8.4,3.4,7.4,45.9,0.8,2.2,37.5,0.8,1.0,82.3,0.3,1.4,1.7,3.5,0.7,0.8,0.2,1.0,18.3,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13,214,James Johnson,MIN,33,32,14,18,19.4,8.4,3.2,6.7,47.9,1.0,2.8,36.3,1.0,1.5,64.6,0.8,2.9,3.7,2.3,1.5,0.8,1.0,2.5,20.2,0,0,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
14,215,Justin Holiday,IND,31,65,39,26,24.9,8.4,2.9,6.6,44.0,1.9,4.4,42.4,0.7,0.9,78.0,0.5,2.7,3.2,1.3,0.6,1.2,0.6,1.8,19.0,0,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
