,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
0,151,Steven Adams,OKC,26,58,37,21,27.0,10.9,4.5,7.6,59.1,0.0,0.1,33.3,1.9,3.2,59.0,3.4,6.0,9.4,2.4,1.5,0.9,1.1,1.9,30.3,21,0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1,152,Jeff Teague,ATL,32,59,22,37,24.8,10.9,3.6,8.3,43.6,0.7,2.0,36.8,2.9,3.3,87.3,0.5,1.9,2.4,5.2,2.0,0.7,0.3,1.8,22.8,3,0,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
2,153,OG Anunoby,TOR,22,63,45,18,30.1,10.7,4.2,8.4,50.7,1.3,3.4,38.1,0.9,1.4,68.6,1.2,4.2,5.4,1.6,1.2,1.4,0.7,2.5,24.6,5,0,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
3,154,Dejounte Murray,SAS,23,58,24,34,25.0,10.7,4.4,9.3,47.5,0.6,1.6,37.8,1.3,1.6,79.8,1.2,4.6,5.8,4.1,1.9,1.7,0.3,2.2,27.9,4,0,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
4,155,Jarrett Allen,BKN,22,64,30,34,25.7,10.6,4.2,6.5,64.6,0.0,0.1,0.0,2.3,3.7,62.0,3.0,6.4,9.5,1.3,1.1,0.6,1.3,2.3,28.6,26,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
5,156,Cam Reddish,ATL,20,58,17,41,26.7,10.5,3.7,9.6,38.4,1.4,4.3,33.2,1.7,2.2,80.2,0.6,3.1,3.7,1.5,1.7,1.1,0.5,2.3,20.2,0,0,-4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
6,157,Ish Smith,WAS,31,60,22,38,26.2,10.5,4.4,9.7,45.1,0.9,2.5,36.7,0.8,1.2,68.6,0.5,2.7,3.2,4.8,1.3,0.9,0.4,1.4,23.9,0,0,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
7,158,Josh Jackson,MEM,23,18,9,9,19.8,10.4,3.8,8.6,43.9,1.3,4.0,31.9,1.6,2.4,65.9,0.6,2.6,3.2,1.7,1.4,1.0,0.5,2.2,20.0,0,0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
8,159,D.J. Augustin,ORL,32,49,25,24,24.8,10.4,3.2,8.1,39.3,1.2,3.6,34.5,2.8,3.2,88.5,0.4,1.9,2.2,4.6,1.4,0.6,0.0,1.1,20.4,0,0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
9,160,Jae Crowder,MIA,29,58,26,32,29.2,10.4,3.4,8.8,38.4,1.9,6.1,31.8,1.6,2.1,78.5,0.8,5.3,6.1,2.6,1.1,1.2,0.4,2.2,25.1,6,0,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
10,161,Derrick White,SAS,25,61,27,34,24.1,10.4,3.5,7.6,45.9,0.9,2.6,35.6,2.5,2.9,85.7,0.5,2.7,3.2,3.4,1.2,0.6,0.9,2.2,22.6,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11,162,Gary Harris,DEN,25,56,37,19,31.8,10.4,3.9,9.3,42.0,1.3,3.8,33.3,1.3,1.6,81.5,0.5,2.4,2.9,2.1,1.1,1.4,0.3,2.1,20.8,0,0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
12,163,Doug McDermott,IND,28,62,37,25,20.0,10.4,3.9,7.9,49.1,1.9,4.3,44.5,0.7,0.8,82.7,0.4,2.1,2.5,1.1,0.6,0.1,0.1,1.7,15.1,0,0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
13,164,Shabazz Napier,WAS,28,51,16,35,24.2,10.3,3.3,8.1,41.2,1.4,4.4,32.0,2.3,2.8,82.3,0.5,2.4,2.9,5.0,2.2,1.3,0.2,1.8,23.4,2,1,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
14,165,Thaddeus Young,CHI,32,64,22,42,24.9,10.3,4.2,9.4,44.8,1.2,3.5,35.6,0.7,1.1,58.3,1.5,3.5,4.9,1.8,1.6,1.4,0.4,2.1,22.7,2,0,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
15,166,Langston Galloway,DET,28,66,20,46,25.8,10.3,3.6,8.2,43.5,2.0,5.0,39.9,1.1,1.3,85.9,0.5,1.8,2.3,1.5,0.6,0.7,0.2,1.5,17.3,0,0,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
16,167,Garrett Temple,BKN,34,55,26,29,28.1,10.3,3.6,9.5,37.8,2.0,6.3,32.4,1.0,1.3,76.7,0.5,2.9,3.5,2.6,1.0,0.8,0.5,1.7,21.0,1,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
17,167,Malik Monk,CHA,22,55,18,37,21.3,10.3,3.9,8.9,43.4,1.1,3.7,28.4,1.5,1.8,82.0,0.5,2.4,2.9,2.1,1.4,0.5,0.3,1.3,17.6,1,0,-4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
18,169,Danuel House Jr.,HOU,27,58,36,22,30.0,10.2,3.6,8.3,42.7,1.9,5.4,36.3,1.2,1.5,80.0,1.0,3.3,4.2,1.3,0.8,1.1,0.6,2.1,21.5,2,0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
19,170,Josh Hart,NOP,25,57,24,33,27.4,10.2,3.5,8.4,41.6,1.9,5.7,34.2,1.2,1.6,74.7,0.9,5.5,6.5,1.6,1.1,1.0,0.4,2.5,23.5,9,0,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
20,171,Bobby Portis,NYK,25,66,21,45,21.1,10.1,4.0,8.9,45.0,1.0,2.8,35.8,1.1,1.4,76.3,1.2,3.9,5.1,1.5,1.1,0.5,0.3,1.7,19.7,5,0,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
21,172,Dario Saric,PHX,26,58,24,34,24.9,10.1,3.7,8.1,46.2,1.3,3.7,34.1,1.4,1.6,83.2,1.5,4.4,5.9,1.9,1.2,0.6,0.3,2.3,21.4,9,0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
22,173,Markieff Morris,LAL,30,52,20,32,21.3,10.1,3.6,8.2,44.5,1.6,4.0,38.6,1.3,1.6,78.3,0.7,3.2,3.8,1.4,1.4,0.5,0.3,2.3,17.8,1,0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23,174,Larry Nance Jr.,CLE,27,56,16,40,26.3,10.1,4.1,7.7,53.1,1.0,2.8,35.2,0.9,1.3,67.6,1.9,5.4,7.3,2.2,1.1,1.0,0.4,1.6,25.2,12,0,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
24,175,Rudy Gay,SAS,33,60,25,35,21.5,10.0,3.7,8.4,44.2,1.0,3.1,31.4,1.7,1.9,87.6,0.9,4.4,5.4,1.7,1.3,0.4,0.5,1.5,20.4,4,0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
25,176,Elfrid Payton,NYK,26,45,17,28,27.7,10.0,4.3,9.8,43.9,0.3,1.5,20.3,1.1,1.9,57.0,1.2,3.6,4.7,7.2,2.1,1.6,0.4,2.0,30.1,6,1,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
26,177,Kevin Porter Jr.,CLE,20,50,15,35,23.2,10.0,3.7,8.4,44.2,1.1,3.2,33.5,1.5,2.0,72.3,0.4,2.8,3.2,2.2,1.9,0.9,0.3,2.7,18.9,0,0,-5.8,,,,,,,,,,,,,,,,,,,,,,,,,,
27,178,Tomas Satoransky,CHI,28,65,22,43,28.9,9.9,3.6,8.5,43.0,1.0,3.1,32.2,1.6,1.9,87.6,1.2,2.7,3.9,5.4,2.0,1.2,0.1,2.1,24.8,3,0,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
28,179,Ben McLemore,HOU,27,63,40,23,22.8,9.8,3.3,7.5,44.5,2.4,6.2,39.5,0.7,1.0,75.8,0.3,1.9,2.2,0.9,0.7,0.6,0.2,2.1,15.4,1,0,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
29,180,Joe Ingles,UTA,32,64,41,23,29.9,9.8,3.4,7.7,44.1,1.9,4.8,39.7,1.0,1.3,77.4,0.4,3.6,4.0,5.2,1.9,0.9,0.1,2.1,23.5,2,0,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
30,181,Troy Brown Jr.,WAS,20,61,23,38,24.9,9.7,3.8,8.3,45.3,0.8,2.4,34.5,1.4,1.9,75.4,1.0,4.3,5.3,2.3,1.1,1.2,0.1,1.8,22.6,4,0,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
31,182,Furkan Korkmaz,PHI,22,64,38,26,21.8,9.7,3.5,8.0,43.2,2.0,5.0,39.7,0.8,1.1,73.6,0.3,2.1,2.3,1.1,0.8,0.6,0.2,1.4,15.7,0,0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
32,183,Mitchell Robinson,NYK,22,61,20,41,23.2,9.7,4.1,5.6,74.2,0.0,0.0,0.0,1.4,2.4,56.8,3.0,4.0,7.0,0.6,0.6,0.9,2.0,3.2,26.8,8,0,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
33,184,Landry Shamet,LAC,23,47,31,16,27.5,9.7,3.1,7.5,41.6,2.2,5.7,39.2,1.2,1.3,90.5,0.1,1.8,1.9,1.9,0.8,0.4,0.2,2.8,15.8,0,0,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
34,185,George Hill,MIL,34,52,44,8,21.2,9.6,3.4,6.5,53.0,1.4,2.9,48.0,1.3,1.6,83.1,0.9,2.1,3.0,2.9,0.9,0.8,0.1,1.4,19.2,0,0,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,
35,186,Kentavious Caldwell-Pope,LAL,27,63,49,14,25.5,9.5,3.5,7.4,47.2,1.4,3.5,39.4,1.2,1.5,77.9,0.6,1.5,2.1,1.7,0.9,0.8,0.2,1.9,16.8,0,0,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
36,187,Moritz Wagner,WAS,23,37,14,23,19.1,9.5,3.5,6.2,57.5,0.6,1.8,34.3,1.8,2.2,81.7,1.4,3.8,5.2,1.3,1.5,0.6,0.5,3.6,19.4,2,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
37,188,Shake Milton,PHI,23,32,19,13,19.1,9.5,3.4,6.8,49.8,1.5,3.3,45.3,1.2,1.6,76.5,0.3,1.8,2.1,2.2,1.2,0.6,0.2,2.2,16.5,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
38,189,Aaron Holiday,IND,23,58,36,22,23.6,9.4,3.5,8.6,40.7,1.4,3.5,39.4,1.1,1.2,86.1,0.4,1.9,2.3,3.3,1.3,0.8,0.2,1.8,18.8,2,0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
39,190,Dwight Powell,DAL,28,40,25,15,26.5,9.4,3.7,5.7,63.8,0.3,1.0,25.6,1.9,2.8,66.7,1.9,3.8,5.7,1.5,0.9,0.9,0.6,2.6,21.7,1,0,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,
40,191,Donte DiVincenzo,MIL,23,59,51,8,23.1,9.4,3.5,7.7,46.2,1.3,3.7,34.4,1.0,1.3,76.9,1.0,3.9,4.9,2.3,1.2,1.4,0.3,1.6,22.5,1,0,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,
41,192,Dion Waiters,LAL,28,3,1,2,14.0,9.3,3.3,8.7,38.5,2.7,5.7,47.1,0.0,0.3,0.0,0.0,3.7,3.7,1.0,1.0,0.0,0.7,1.7,16.2,0,0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
42,193,Dorian Finney-Smith,DAL,27,64,38,26,29.7,9.3,3.3,7.1,46.8,1.5,4.1,37.4,1.1,1.5,72.2,2.0,3.5,5.5,1.5,1.0,0.7,0.6,2.4,21.0,3,0,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
43,194,Daniel Theis,BOS,28,58,37,21,23.8,9.3,3.7,6.6,56.5,0.4,1.4,32.1,1.4,1.8,76.4,2.2,4.3,6.6,1.6,0.8,0.6,1.3,3.5,24.5,5,0,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
44,195,Marquese Chriss,GSW,22,59,15,44,20.3,9.3,3.6,6.5,54.5,0.1,0.7,20.5,2.0,2.6,76.9,1.9,4.3,6.2,1.9,1.3,0.7,1.1,2.1,23.4,9,0,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
45,196,Derrick Favors,NOP,28,45,22,23,24.2,9.2,4.2,6.8,62.0,0.0,0.2,14.3,0.8,1.4,58.1,3.3,6.6,9.9,1.7,1.1,0.6,1.0,2.2,27.1,16,0,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,
46,197,Jarrett Culver,MIN,21,63,19,44,23.9,9.2,3.7,9.0,40.4,1.0,3.5,29.9,0.9,1.9,46.2,1.1,2.3,3.4,1.7,1.3,0.9,0.6,2.0,19.1,0,0,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
